ISO,Country,Data source,Sector,Gas,Unit,Year,Emissions
GHA,Ghana,Climate Watch,Agriculture,All GHG,MtCO?e,2021,10.55
ZWE,Zimbabwe,Climate Watch,Agriculture,All GHG,MtCO?e,2021,10.33
ZWE,Zimbabwe,Climate Watch,Agriculture,CH4,MtCO?e,2021,6.08
GHA,Ghana,Climate Watch,Agriculture,CH4,MtCO?e,2021,5.57
GHA,Ghana,Climate Watch,Agriculture,N2O,MtCO?e,2021,4.99
ZWE,Zimbabwe,Climate Watch,Agriculture,N2O,MtCO?e,2021,4.25
RWA,Rwanda,Climate Watch,Agriculture,All GHG,MtCO?e,2021,3.62
RWA,Rwanda,Climate Watch,Agriculture,CH4,MtCO?e,2021,1.94
RWA,Rwanda,Climate Watch,Agriculture,N2O,MtCO?e,2021,1.68
GHA,Ghana,Climate Watch,Agriculture,All GHG,MtCO?e,2020,11.52
ZWE,Zimbabwe,Climate Watch,Agriculture,All GHG,MtCO?e,2020,9.76
ZWE,Zimbabwe,Climate Watch,Agriculture,CH4,MtCO?e,2020,5.8
GHA,Ghana,Climate Watch,Agriculture,CH4,MtCO?e,2020,5.97
GHA,Ghana,Climate Watch,Agriculture,N2O,MtCO?e,2020,5.55
ZWE,Zimbabwe,Climate Watch,Agriculture,N2O,MtCO?e,2020,3.96
RWA,Rwanda,Climate Watch,Agriculture,All GHG,MtCO?e,2020,3.49
RWA,Rwanda,Climate Watch,Agriculture,CH4,MtCO?e,2020,1.86
RWA,Rwanda,Climate Watch,Agriculture,N2O,MtCO?e,2020,1.63
GHA,Ghana,Climate Watch,Agriculture,All GHG,MtCO?e,2019,10.28
ZWE,Zimbabwe,Climate Watch,Agriculture,All GHG,MtCO?e,2019,10.62
ZWE,Zimbabwe,Climate Watch,Agriculture,CH4,MtCO?e,2019,6.16
GHA,Ghana,Climate Watch,Agriculture,CH4,MtCO?e,2019,5.38
GHA,Ghana,Climate Watch,Agriculture,N2O,MtCO?e,2019,4.9
ZWE,Zimbabwe,Climate Watch,Agriculture,N2O,MtCO?e,2019,4.46
